rating_score,num_ratings,num_reviews,current_readers,want_to_read,price,top_rank
4.02,29622,340,129,3964,11.99,3
4,28348,486,293,6879,8.99,0
3.84,17216,753,424,9821,9.99,0
4.26,18679,812,457,20500,10.99,1
3.98,6237,258,927,2786,5.99,0
4.04,4164,107,883,1607,7.99,2
4.17,714538,77091,77800,978000,12.99,1
4.32,120146,4468,2988,50700,8.49,1
4.06,406972,21843,9134,221000,9.99,1
3.96,128955,3495,1350,47900,8.99,0
4.15,87405,2839,3635,73600,14.99,1
3.74,48988,2804,1259,24100,11.99,0
3.84,8523,483,52,5911,6.54,0
3.67,2456,135,37,911,9.99,0
3.75,774,64,36,394,7.99,0
3.9,9051,750,395,5007,9.99,0
4.39,305741,12813,14900,112000,7.99,1
3.88,145331,6076,2585,57900,12.99,0
4.21,71021,1786,5226,27200,9.99,1
4.16,43040,660,310,8583,8.99,1
3.98,23863,139,81,3529,9.59,0
4.1,6743,167,99,1972,8.99,1
4.05,547921,17022,9646,161000,9.99,1
3.92,268031,12037,8901,163000,14.99,0
4.05,78695,2497,1647,20500,9.99,1
4.18,173073,5060,8139,43800,9.99,1
4.06,172453,8494,7947,9872,9.99,1
4.12,245585,7453,6341,95000,1.99,1
3.83,155137,4746,4300,97300,11.99,0
4.15,112898,6271,3739,65900,4.99,1
3.99,167051,8018,2715,41400,8.49,0
4.05,82452,7069,2965,72200,12.99,1
3.86,186191,5825,3003,76200,9.78,0
4.24,100505,9999,9758,104000,12.99,1
4.31,21974,837,334,3852,6.99,1
4.15,70946,5511,3207,65400,11.99,1
4.01,86482,3419,1941,43600,13.99,0
4.68,19832,407,520,2304,8.99,1
4.17,285316,23588,14200,253000,12.99,1
4.55,58602,1957,479,21400,9.99,1
3.81,45032,2070,1881,100000,14.99,0
4.21,69351,3034,4852,12800,9.99,1
4.15,280152,19642,19700,266000,13.99,1
3.84,139615,2111,2409,28700,9.99,0
3.9,11700,596,616,3333,5.99,0
3.87,3896,367,167,4789,14.99,0
3.87,9734,336,365,1824,4.99,0
3.85,4110,407,352,6232,11.99,0
4.09,95304,2197,772,29600,14.99,1
4.22,25050,177,53,4489,9.49,1
4.09,48678,750,2424,11500,9.99,1
3.63,7897,906,276,4322,2.99,0
3.49,15506,811,1041,12600,2.99,0
3.96,9364,438,418,2787,8.99,0
4.22,74433,1520,1796,30000,2.99,1
4.35,86230,4854,8546,160000,11.99,1
3.95,14362,590,678,2712,10.99,0
4.2,41630,627,117,30700,9.99,1
4.01,18420,331,289,4282,7.99,0
3.74,41729,2113,636,11800,9.99,0
4.28,63376,1122,531,10800,10.99,1
3.99,23301,291,134,6285,8.99,0
3.81,20500,965,594,7188,4.99,0
3.56,2310,260,428,2295,12.99,0
4.07,74796,1540,1117,14200,9.99,1
4.21,21206,463,335,1944,6.99,1
3.79,54893,1932,1008,19300,9.99,0
4.13,65451,4413,3141,23800,11.99,1
4.21,10532,525,2315,21300,12.99,1
4.08,3829,104,457,1680,7.99,1
3.95,193,20,14,258,11.99,0
4.12,22222,918,1188,7496,7.99,1
4.01,3324,163,113,664,7.99,0
3.76,11077,1169,263,4614,1.99,0
3.81,4151,165,275,926,6.99,0
3.97,12843,524,537,2634,11.99,0
3.76,1406,253,191,4430,15.99,0
4.18,320147,16612,12700,307000,4.99,1
3.91,199974,7871,2781,94900,6.77,0
4.37,148582,11067,5682,153000,8.99,1
3.85,58243,2291,826,1991,7.99,0
4.17,285319,23588,14200,253000,12.99,1
3.91,112054,5176,3872,64600,13.99,0
