Hs,Hmax,Tz,Tp,Peak Direction,SST,SST_Range
2.004,3.52,5.428,7.307,92,25.85,2
1.999,3.29,5.639,6.593,101,25.85,2
1.96,3.75,5.416,6.546,94,25.85,2
2.114,3.15,5.811,7.823,88,25.85,2
2.175,3.56,5.461,8.155,92,25.85,2
1.916,4.047,5.417,8.45,105,25.9,2
2.14,3.421,5.665,8.237,92,25.9,2
2.022,3.6,5.579,7.57,87,25.9,2
1.97,3.104,5.503,8.427,91,25.95,2
2.126,3.48,5.902,7.95,95,25.95,2
2.054,3.09,5.628,7.618,94,26,3
1.971,3.54,5.335,8.049,95,26.05,3
2.111,4.296,5.88,7.14,94,26.05,3
1.959,3.79,5.492,8.222,95,26.05,3
2.143,3.91,5.632,7.918,95,26.05,3
2.141,3.472,5.686,7.866,102,26.05,3
2.148,3.47,5.924,8.554,98,26.05,3
2.047,3.458,5.328,8.342,95,26.05,3
1.993,3.26,5.562,7.499,94,26.05,3
2.166,3.47,5.495,8.347,92,26.05,3
2.065,3.35,5.349,8.517,92,26.05,3
2.136,3.38,5.67,8.511,98,26.05,3
2.15,3.98,5.677,8.802,97,26,3
2.334,3.599,5.977,8.709,91,26.05,3
2.148,3.5,5.751,8.586,99,26.05,3
2.014,3.16,5.796,9.253,98,26.05,3
2.216,4.04,5.827,7.934,94,26.05,3
2.137,3.298,5.928,8.387,98,26.05,3
2.055,3.39,5.49,8.677,98,26.05,3
2.058,3.13,5.645,8.516,104,26,3
2.03,3.69,5.59,8.152,102,26,3
2.121,3.474,5.765,8.806,106,26,3
2.035,3.22,5.6,8.885,101,25.95,2
1.949,3.23,5.554,8.226,102,25.95,2
2.168,3.51,5.58,8.306,104,25.95,2
2.148,4.03,5.867,8.62,104,25.95,2
1.953,4.02,5.558,8.191,105,25.9,2
2.022,2.89,5.914,7.41,101,25.9,2
2.15,4.03,5.921,8.626,101,25.9,2
2.142,3.684,5.822,8.937,102,25.85,2
2.078,3.3,5.758,9.257,102,25.85,2
2.077,3.66,6.387,7.999,101,25.85,2
2.096,3.3,6.135,9.171,98,25.85,2
2.243,3.637,6.281,9.197,101,25.8,2
2.032,3.68,5.94,9.281,98,25.85,2
1.985,3.44,5.941,8.52,98,25.85,2
1.969,2.92,6.244,9.324,94,25.85,2
1.974,3.05,6.076,8.491,97,25.85,2
2.043,3.74,6.133,8.969,92,25.9,2
2.02,3.17,6.321,8.226,95,25.9,2
1.936,3.5,5.937,9.316,99,25.9,2
2.023,3.24,6.36,8.459,95,25.95,2
1.897,2.86,5.872,7.851,99,26,3
1.989,2.9,6.157,8.912,104,26,3
1.897,3.49,5.931,9.273,101,26.05,3
2.008,3.54,6.109,8.527,101,26.05,3
1.972,3.18,6.002,8.659,92,26.05,3
1.923,3.11,6.21,8.616,92,26.1,3
1.888,3.39,5.805,8.921,99,26.1,3
1.873,3.88,5.862,8.206,101,26.2,3
1.9,3.28,5.791,8.687,98,26.2,3
1.739,2.85,5.836,8.566,95,26.2,3
1.842,2.96,6.029,8.509,101,26.2,3
1.667,2.87,5.875,9.186,99,26.2,3
1.782,2.98,6.189,8.916,98,26.2,3
1.672,2.57,5.963,8.576,102,26.2,3
1.685,2.66,5.923,9.104,101,26.2,3
1.719,3.11,6.02,8.541,98,26.15,3
1.583,2.66,5.781,8.21,98,26.15,3
1.752,3.6,6.178,8.178,99,26.15,3
1.734,3.04,5.781,8.601,95,26.1,3
1.714,2.58,6.275,8.912,98,26.1,3
1.703,2.96,6.272,8.947,98,26.1,3
1.543,2.77,6.075,8.884,99,26.05,3
1.619,2.57,5.877,8.829,94,26.05,3
1.7,2.94,6.092,8.822,99,26.05,3
1.508,2.62,5.899,8.675,104,26.05,3
1.71,3.05,5.992,8.904,99,26.05,3
1.72,2.5,6.126,7.912,97,26.05,3
1.631,3.08,6.002,9.238,95,26.05,3
1.63,2.73,5.955,9.144,99,26,3
1.627,2.42,6.376,7.877,98,26,3
1.662,3.07,6.266,8.886,97,26,3
1.556,2.38,6.323,9.203,98,26,3
1.481,3.01,6.018,8.497,95,26,3
1.498,2.66,5.786,8.52,97,26,3
1.494,2.35,5.988,9.095,90,26,3
1.538,3.03,5.89,8.77,99,25.95,2
1.482,2.6,5.937,9.192,91,25.95,2
1.404,2.3,5.842,8.178,95,25.95,2
1.573,2.64,6.338,8.378,98,25.95,2
1.508,2.56,6.169,8.746,95,25.95,2
1.49,2.42,5.944,8.858,98,25.95,2
1.486,2.44,6.115,8.944,99,25.95,2
1.557,2.81,6.22,8.165,95,25.95,2
1.586,2.29,6.472,8.523,95,25.95,2
1.412,2.41,5.961,8.902,94,25.95,2
1.587,2.75,6.664,8.547,92,25.95,2
1.611,2.49,6.546,8.855,94,26,3
1.479,2.25,6.359,9.108,99,26.05,3
1.512,2.39,6.398,8.586,95,26.15,3
1.48,2.55,6.321,8.883,88,26.2,3
1.539,2.21,6.338,8.538,99,26.3,3
1.545,2.28,6.465,8.838,88,26.4,3
1.415,2.08,6.603,8.89,98,26.55,3
1.576,2.6,6.282,8.812,91,26.55,3
1.488,2.24,6.273,9.175,92,26.55,3
1.489,2.23,6.425,8.863,95,26.65,3
1.554,2.42,6.734,8.594,94,26.65,3
1.576,2.92,5.995,8.199,92,26.7,3
1.716,3.09,6.17,7.923,98,26.55,3
1.576,2.37,6.005,8.884,95,26.5,3
1.495,2.8,6.15,8.294,84,26.45,3
1.545,2.54,5.974,7.865,87,26.35,3
1.622,3.26,5.962,8.479,92,26.35,3
1.551,2.65,6.038,8.816,101,26.35,3
1.533,2.75,6.101,8.844,92,26.25,3
1.659,2.7,6.126,8.483,94,26.15,3
1.659,2.86,6.511,8.45,95,26.25,3
1.659,2.79,6.414,8.744,94,26.2,3
1.542,2.76,6.011,8.547,97,26.15,3
1.415,2.28,5.801,9.249,94,26.1,3
1.428,2.18,5.612,8.9,94,26.1,3
1.526,2.44,6.195,8.191,97,26.05,3
1.479,2.6,5.971,8.601,94,26.05,3
1.448,2.96,5.654,8.322,106,26.05,3
1.364,2.36,5.733,8.855,99,26.05,3
1.411,2.23,5.701,8.526,98,26.05,3
1.357,2.31,5.47,7.834,99,26.05,3
1.399,2.69,5.441,8.205,104,26.05,3
1.54,2.3,6.03,8.48,101,26.05,3
1.498,2.65,6,8.527,92,26,3
1.431,2.37,5.942,8.51,99,26,3
1.365,2.24,5.637,8.686,92,26,3
1.387,2.3,5.64,8.404,91,26,3
1.376,2.28,5.839,8.32,97,25.95,2
1.451,3.07,5.871,8.535,97,26,3
1.353,2.45,5.6,7.946,99,25.95,2
1.345,2.52,5.755,8.115,99,25.95,2
1.321,2.39,5.784,8.494,97,25.95,2
1.358,2.75,5.671,8.103,104,25.95,2
1.271,2.41,5.791,8.386,106,25.95,2
1.357,2.62,6.063,8.856,99,25.95,2
1.256,2.11,6.035,7.96,101,26,3
1.339,2.19,6.318,8.48,111,26,3
1.256,2.08,6.001,8.616,104,26,3
1.337,2.99,6.061,8.17,108,26.05,3
1.266,2.37,6.282,8.146,105,26.1,3
1.287,2,5.925,8.203,106,26.2,3
1.26,2.11,6.127,7.864,99,26.25,3
1.297,2.51,6.119,8.271,111,26.25,3
1.224,2.18,5.91,8.457,104,26.35,3
1.251,2.19,5.947,7.596,108,26.35,3
1.267,2.28,5.649,8.151,106,26.4,3
1.261,2.25,5.397,7.853,97,26.5,3
1.252,2.25,5.569,8.546,101,26.5,3
1.279,2.46,5.351,7.567,99,26.55,3
1.37,2.33,5.74,8.112,92,26.6,3
1.281,2.5,5.452,7.297,98,26.6,3
1.285,2.08,5.379,7.942,104,26.6,3
1.316,2.34,5.433,7.695,104,26.6,3
1.238,2.08,5.24,8.416,97,26.55,3
1.314,2.01,5.38,8.44,90,26.55,3
1.223,1.93,5.219,7.522,94,26.45,3
1.24,1.85,5.342,8.331,97,26.4,3
1.191,2.54,5.195,8.094,95,26.35,3
1.199,1.95,5.422,8.1,101,26.3,3
1.209,2.09,5.287,7.919,91,26.3,3
1.15,1.99,5.148,7.887,92,26.25,3
1.146,1.87,5.372,8.188,98,26.25,3
1.119,1.78,5.239,8.248,102,26.25,3
1.135,1.86,5.485,9.006,101,26.25,3
1.182,2.01,5.223,8.203,99,26.25,3
1.218,1.76,5.567,7.908,94,26.3,3
1.264,2.09,5.73,8.533,95,26.25,3
1.175,1.95,5.799,8.449,99,26.25,3
1.068,1.7,5.153,7.506,101,26.25,3
1.129,2.34,5.669,8.257,94,26.25,3
1.139,1.86,5.561,8.209,102,26.2,3
1.059,1.79,5.341,7.666,99,26.2,3
1.153,1.68,5.652,7.826,101,26.2,3
1.135,2.16,5.604,7.329,94,26.25,3
1.126,1.91,5.705,7.244,94,26.2,3
1.139,1.71,6.025,8.443,87,26.2,3
1.147,1.95,5.789,8.12,94,26.2,3
1.123,1.83,6.019,7.565,99,26.2,3
1.029,1.82,5.889,8.965,102,26.2,3
1.103,1.79,5.999,8.551,99,26.2,3
1.053,1.81,6.014,8.914,97,26.15,3
0.993,1.65,6.003,8.196,94,26.15,3
1.028,1.99,6.035,7.59,97,26.2,3
1.053,1.66,6.248,8.018,92,26.25,3
1.123,1.64,6.74,8.152,99,26.35,3
0.906,1.59,6.103,8.279,102,26.4,3
1.003,1.85,6.176,8.835,91,26.45,3
1.015,1.66,6.342,8.192,92,26.55,3
1.056,1.67,6.129,7.82,97,26.55,3
0.97,1.52,5.899,8.774,98,26.6,3
0.972,1.74,5.582,8.11,94,26.65,3
1.017,1.69,5.806,8.516,106,26.7,3
1.013,2.28,5.516,7.558,95,26.75,3
1.066,1.57,5.813,8.13,90,26.8,3
1.024,1.68,5.906,8.433,102,26.85,3
0.973,1.7,5.478,8.172,91,26.85,3
1.028,2.09,5.146,8.886,99,26.9,3
1.063,2.36,5.122,8.693,101,26.8,3
1.095,1.8,5.092,8.22,101,26.75,3
1.08,2.01,4.983,8.168,97,26.75,3
1.011,1.63,4.81,8.527,88,26.7,3
1.069,1.94,5.111,7.806,91,26.65,3
1.012,1.71,4.681,8.185,92,26.6,3
0.995,1.75,4.521,8.856,97,26.55,3
1.059,1.64,4.746,8.492,92,26.55,3
1.133,2.42,4.888,8.588,98,26.5,3
1.189,1.95,4.926,8.449,90,26.5,3
1.092,1.64,4.751,8.487,95,26.5,3
0.997,1.99,4.484,7.816,92,26.45,3
1.019,1.65,4.574,8.533,85,26.4,3
1.011,1.85,4.643,7.811,92,26.35,3
1.026,1.65,4.523,8.37,94,26.3,3
1.098,1.914,4.687,7.925,87,26.3,3
1.096,1.76,4.683,7.887,95,26.25,3
1.102,1.68,4.988,8.753,91,26.25,3
1.078,1.85,4.482,9.211,85,26.2,3
1.077,1.6,4.759,8.916,99,26.2,3
1.07,2,5.091,9.294,90,26.2,3
1.035,1.89,4.875,8.986,94,26.2,3
1.094,1.94,5.182,9.353,88,26.2,3
1.011,1.63,5.436,9.29,91,26.15,3
1.102,1.71,5.391,9.289,95,26.15,3
1.146,2.29,5.894,8.726,91,26.15,3
1.068,1.64,5.848,8.465,92,26.15,3
1.1,1.81,5.692,8.86,92,26.15,3
1.156,1.95,6.249,8.605,81,26.15,3
1.165,1.85,5.995,8.514,88,26.15,3
1.047,1.7,5.877,9.748,88,26.2,3
1.059,1.72,6.003,9.41,94,26.15,3
1.068,1.71,6.211,9.284,99,26.15,3
1.027,1.77,6.021,9.294,95,26.15,3
1.03,1.93,6.552,9.367,97,26.15,3
1.096,2.12,6.532,9.666,92,26.15,3
1.127,1.63,6.977,9.359,98,26.2,3
1.217,1.85,7.039,9.396,94,26.25,3
1.196,2.01,7.048,9.376,99,26.35,3
1.108,2.19,6.747,9.705,92,26.4,3
1.235,2.06,7.124,9.757,99,26.55,3
1.144,2.15,6.756,9.636,97,26.65,3
1.22,1.99,6.56,9.373,101,26.7,3
1.205,1.64,6.884,9.773,98,26.75,3
1.121,1.81,6.878,9.364,99,26.8,3
1.124,1.92,6.37,8.514,92,26.85,3
1.197,1.84,6.742,9.448,106,26.9,3
1.112,2.06,6.597,9.643,102,26.85,3
1.2,2.04,6.743,9.702,99,26.8,3
1.115,2.09,5.729,9.354,104,26.75,3
0.994,1.72,5.273,9.687,106,26.65,3
1.106,1.79,5.615,9.311,106,26.6,3
0.999,1.62,5.074,9.74,108,26.6,3
1.026,1.71,5.106,8.956,101,26.5,3
0.985,1.59,4.943,9.219,102,26.45,3
0.969,1.68,5.005,9.101,101,26.5,3
0.937,1.55,4.876,8.574,105,26.5,3
1.01,1.922,4.996,8.962,102,26.45,3
0.947,1.59,4.993,8.758,101,26.4,3
0.968,1.41,4.997,8.917,98,26.35,3
0.917,1.57,4.865,9.17,98,26.4,3
0.963,1.79,5.038,8.617,101,26.35,3
0.954,1.64,5.342,9.271,104,26.3,3
0.988,1.92,5.635,8.803,92,26.35,3
0.962,1.84,5.571,8.975,97,26.35,3
0.959,1.58,5.681,8.973,94,26.4,3
0.926,1.51,5.756,8.865,97,26.45,3
0.894,1.45,5.939,8.86,95,26.4,3
0.953,1.7,6.141,8.867,101,26.4,3
0.896,1.52,6.187,8.662,105,26.35,3
0.896,1.84,6.1,8.863,98,26.35,3
1.018,1.6,6.544,8.543,102,26.35,3
0.872,1.61,5.95,8.553,102,26.35,3
