book title,book price,score,year of publication,genre,top_rank
How to Catch an Elf,6.94,4.8,2016,"Christmas, Picture Books, Holiday, Childrens, Fantasy, Humor, Fiction",1
"School Zone - Multiplication 0-12 Flash Cards - Ages 8+, 3rd Grade, 4th Grade, Elementary Math, Multiplication Facts, Common ",2.78,4.7,1994,Educational Material,2
"Hello, Baby Animals: A Durable High-Contrast Black-and-White Board Book for Newborns and Babies (High-Contrast Books)",4.73,4.9,2016,"Childrens, Picture Books, Animals",1
Haunting Adeline (Cat and Mouse Duet),13.36,4.4,2021,"Dark, Thriller, Fantasy, Adult, Contemporary, Mystery, Horror",3
Verity,10.98,4.6,2018,"Thriller, Romance, Mystery, Fiction",2
"A Court of Mist and Fury (A Court of Thorns and Roses, 2)",12.79,4.8,2016,"Fantasy, Romance, Young Adult, New Adult, Fiction",1
The Creative Act: A Way of Being,17.49,4.7,2023,"Nonfiction, Art, Music, Philosophy, Self Help, Writing, Design",2
My First Library : Boxset of 10 Board Books for Kids (My First Book of),16.74,4.6,2018,Childrens,2
"Forever Strong: A New, Science-Based Strategy for Aging Well",20.63,4.6,2023,"Health, Nonfiction, Nutrition, Fitness, Self Help, Science",2
Where's Spot?,4.97,4.9,1980,Childrens,1
Demon Copperhead: A Pulitzer Prize Winner,19.5,4.6,2022,Fiction,2
Israel: A Simple Guide to the Most Misunderstood Country on Earth,15.59,4.7,2021,"Nonfiction, History, Politics, Israel, Jewish, Judaism, Religion",2
Remarkably Bright Creatures: A Read with Jenna Pick,15.99,4.6,2024,Fiction,2
Harry Potter Paperback Box Set (Books 1-7),45.22,4.9,2014,"Childrens, Young Adult, Fantasy, Science Fiction &amp; Horror",1
Just Because,12.69,4.6,2023,"Picture Books, Childrens, Fiction",2
If Animals Kissed Good Night,4.19,4.8,2008,"Picture Books, Childrens, Animals, Fiction, Family, Storytime, Poetry",1
Things We Never Got Over (Knockemout),8.93,4.5,2022,"Romance, Contemporary, Contemporary Romance, Fiction, Adult, Chick Lit",2
Five Silly Turkeys,5.99,4.8,2005,"Picture Books, Childrens, Holiday, Storytime, Counting, Animals, Number",1
Paint by Sticker Kids: Christmas: Create 10 Pictures One Sticker at a Time! Includes Glitter Stickers,6.06,4.8,2019,Childrens Literature,1
Love Comes First,17.99,4.6,2016,"Fiction, Romance, Contemporary, Audiobook, Adult, Adult Fiction",2
The Ballad of Songbirds and Snakes (A Hunger Games Novel) (The Hunger Games),15.79,4.6,2020,"Adventure, War, Science Fiction, Romance, Action, Thriller",2
"A Court of Wings and Ruin (A Court of Thorns and Roses, 3)",11.56,4.8,2017,Fantasy,1
The Shadow Work Journal 2nd Edition: a Guide to Integrate and Transcend Your Shadows: The Essential Guidebook for Shadow Work,18.46,4.7,2023,Self Help,2
"Harry Potter and the Prisoner of Azkaban (Harry Potter, Book 3) (MinaLima Edition)",25.97,4.9,1999,Fantasy,1
"Moo, Baa, La La La!",3.69,4.9,1982,"Childrens literature, picture book",1
The Coworker,9.44,4.2,2023,"Thriller, Mystery",3
Rich Dad Poor Dad: What the Rich Teach Their Kids About Money That the Poor and Middle Class Do Not!,6.31,4.7,1997,Personal Finance,2
Percy Jackson and the Olympians: The Chalice of the Gods (Percy Jackson & the Olympians),15.63,4.7,2023,"Fantasy, Adventure, Mythology",2
Paw Patrol Phonics: 12 Books in 1,8.25,4.6,2015,Childrens,2
First Little Readers Parent Pack: Guided Reading Level A: 25 Irresistible Books That Are Just the Right Level for Beginning R,11.4,4.7,2010,Nonfiction,2
Hatchet,5.14,4.7,1987," young adult novel, adventure novel, survival story",2
"The Wager: A Tale of Shipwreck, Mutiny and Murder",15.3,4.5,2023,Nonfiction,2
"I'm Dead, Now What?: Important Information About My Belongings, Business Affairs, and Wishes",12.99,4.6,2015,Nonfiction,2
The Wonky Donkey,5.28,4.8,2009,"Childrens, Picture Books",1
