language,num_pages,genres,rating_score,num_reviews,current_readers,want_to_read,price,rating
English,364,"['Mystery', 'Fiction', 'Historical Fiction', 'Young Adult', 'Audiobook', 'Crime', 'Historical']",3.99,5740,1556,1342,4.99,0
English,414,"['Paranormal Romance', 'Paranormal', 'Romance', 'Demons', 'Fantasy', 'Angels', 'Vampires']",4.32,996,294,574000,7.99,1
English,448,"['Politics', 'Nonfiction', 'History', 'American History', 'Presidents', 'Biography', 'Audiobook']",4.13,2672,729,10600,13.99,1
English,384,"['Fantasy', 'Young Adult', 'Romance', 'Fae', 'Paranormal', 'Fairies', 'Magic']",4.2,5193,1233,12100,9.99,1
English,,"['Romance', 'Fiction', 'Chick Lit', 'Contemporary Romance', 'Contemporary', 'Historical Fiction', 'Historical']",3.78,184,267,81200,8.99,0
English,374,"['Science Fiction', 'Fiction', 'Young Adult', 'Fantasy', 'Dystopia', 'Audiobook', 'Adventure']",4.23,101561,34500,18333,11.99,1
English,350,"['Urban Fantasy', 'Vampires', 'Paranormal', 'Fantasy', 'Romance', 'Paranormal Romance', 'Magic']",4.14,2505,562,249000,11.99,1
English,308,"['Urban Fantasy', 'Fantasy', 'Paranormal', 'Romance', 'Magic', 'Vampires', 'Paranormal Romance']",4.4,3381,1808,30400,8.99,1
English,487,"['Fantasy', 'Young Adult', 'Mythology', 'Romance', 'Paranormal', 'Greek Mythology', 'Paranormal Romance']",4.05,5565,963,84700,10.99,1
English,535,"['Fantasy', 'Young Adult', 'Romance', 'Paranormal', 'Urban Fantasy', 'Vampires', 'Fiction']",4.22,24086,10000,21200,10.99,1
English,572,"['Paranormal', 'Paranormal Romance', 'Romance', 'Vampires', 'Fantasy', 'Urban Fantasy', 'Adult']",4.33,4975,1700,114000,8.99,1
English,406,"['Fantasy', 'Mythology', 'Young Adult', 'Middle Grade', 'Fiction', 'Adventure', 'Magic']",4.28,6691,2497,66979,7.99,1
English,485,"['Vampires', 'Young Adult', 'Fantasy', 'Paranormal', 'Dystopia', 'Romance', 'Urban Fantasy']",4.07,6275,1305,92118,11.99,1
English,411,"['Paranormal Romance', 'Paranormal', 'Romance', 'Angels', 'Fantasy', 'Demons', 'Adult']",4.07,1624,791,134000,8.99,1
English,509,"['Science Fiction', 'Fiction', 'Dystopia', 'Post Apocalyptic', 'Fantasy', 'Science Fiction Fantasy', 'Audiobook']",4.22,16975,17800,10600,0.01,1
English,371,"['Dystopia', 'Young Adult', 'Romance', 'Science Fiction', 'Fantasy', 'Fiction', 'Adventure']",4.23,19283,7814,,9.99,1
English,322,"['Romance', 'Contemporary Romance', 'Contemporary', 'Adult', 'Chick Lit', 'New Adult', 'Erotica']",4.02,1854,689,23800,0,1
English,367,"['Romance', 'Erotica', 'New Adult', 'Contemporary Romance', 'Contemporary', 'BDSM', 'Adult']",4.28,2455,1157,3457,0,1
English,448,"['Young Adult', 'Fantasy', 'Angels', 'Paranormal', 'Romance', 'Paranormal Romance', 'Supernatural']",4.12,4022,369,50284,9.99,1
English,345,"['Romance', 'New Adult', 'Young Adult', 'Contemporary', 'Contemporary Romance', 'High School', 'Mental Illness']",4.2,1306,226,591,0,1
English,290,"['Romance', 'Contemporary Romance', 'Contemporary', 'Erotica', 'Dark', 'Adult', 'New Adult']",4.26,4775,2008,450000,8.99,1
English,,"['Romance', 'Contemporary Romance', 'Contemporary', 'Humor', 'Chick Lit', 'Adult', 'New Adult']",4.05,371,58,264000,3.99,1
